SubjID,Decision1,Decision2,Decision3,HealthStatus
1,3,2,5,95
2,4,3,4,95
3,1,0,1,80
4,0,2,3,80
5,4,4,0,85
6,0,5,5,85
7,4,2,2,80
8,2,0,3,90
9,1,3,2,85
10,5,3,0,100
11,5,1,4,75
12,5,3,5,90
13,2,5,0,75
14,0,0,3,100
15,3,5,2,80
16,0,0,3,75
17,5,0,2,80
18,1,0,3,80
19,0,0,4,90
20,5,5,2,75
21,4,2,3,90
22,2,2,2,80
23,5,3,1,80
24,4,4,4,100
25,4,0,4,75
26,4,3,1,80
27,0,4,2,90
28,4,2,3,75
29,4,1,1,85
30,5,3,4,100
31,3,1,4,85
32,3,3,2,80
33,1,4,1,90
34,0,4,4,85
35,5,0,0,95
36,2,3,0,100
37,3,1,0,95
38,1,5,0,85
39,1,2,3,100
40,2,1,5,85
41,0,0,4,90
42,0,4,1,90
43,0,1,1,95
44,5,2,0,85
45,4,2,2,90
46,2,4,4,75
47,1,2,5,100
48,5,1,4,100
49,5,2,2,100
50,2,1,3,75
51,3,0,2,95
52,0,3,3,100
53,1,0,1,100
54,4,0,1,75
55,5,3,2,75
56,4,2,5,75
57,1,0,5,75
58,5,4,5,100
59,0,3,3,90
60,4,5,2,80
